1,1592,451,30,49
2,1596,450,29,48
3,1601,450,30,49
4,1606,448,30,49
5,1612,448,31,50
6,1616,445,32,53
7,1624,442,33,55
8,1628,444,33,55
9,1636,443,35,57
10,1653,445,33,55
11,1661,446,33,54
12,1673,442,34,56
13,1687,441,35,57
14,1698,439,36,59
15,1724,439,38,62
16,1748,441,36,59
17,1768,439,38,62
18,1794,441,37,60
19,1819,438,38,62
20,1851,441,36,59
21,1877,437,37,60
22,1836,439,38,62
23,1852,433,39,64
24,1868,417,41,67
25,1871,415,39,64
26,1865,398,40,65
27,1859,363,42,68
28,1859,361,42,69
29,1858,361,41,67
30,1860,361,41,67
31,1858,360,41,67
32,1859,361,42,69
33,1858,360,43,71
34,1858,359,43,71
35,1859,362,42,68
36,1858,360,43,71
37,1858,360,43,71
38,1858,360,44,72
39,1858,359,43,71
40,1859,362,42,68
41,1858,359,43,71
42,1859,362,42,68
43,1858,359,43,71
44,1859,362,42,68
45,1858,359,43,71
46,1858,361,43,71
47,1858,360,44,72
48,1858,359,43,71
49,1859,362,42,68
50,1858,359,43,71
51,1859,362,42,68
52,1858,359,43,71
53,1859,362,42,68
54,1858,359,43,71
55,1859,362,42,68
56,1858,359,43,71
57,1859,362,42,68
58,1858,359,43,71
59,1859,362,42,68
60,1859,360,42,68
61,1859,362,42,68
62,1858,359,43,71
63,1859,362,42,68
64,1858,359,43,71
65,1859,362,42,68
66,1858,359,43,71
67,1859,362,42,68
68,1858,359,43,71
69,1859,362,42,68
70,1858,359,43,71
71,1859,362,42,68
72,1858,359,43,71
73,1859,362,42,68
74,1858,359,43,71
75,1859,362,42,68
76,1858,359,43,71
77,1859,362,42,68
78,1858,359,43,71
79,1859,362,42,68
80,1858,359,43,71
81,1859,362,42,68
82,1858,359,43,71
83,1859,362,42,68
84,1858,359,43,71
